"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Ni-65","2.520h","0.05","6.1E-12","1.6E-11","3.4E-12","4.2E-13","1.8E-12","1.5E-12","6.2E-10","7.1E-10","9.3E-10","3.6E-10","6.8E-10","1E-11","6.8E-12","5.4E-12","3E-11","1.6E-11","7.1E-12","6E-13","2.5E-12","2.4E-12","1.1E-11","2.3E-12","1.5E-12","6E-13","2.1E-11","3.6E-10","1.8E-10"
"Ni-66","54.6h","0.05","1.7E-11","1.8E-10","1.8E-11","1.3E-11","1.4E-11","1.4E-11","1.2E-09","3E-09","1.5E-08","3.4E-08","2.4E-08","3.4E-11","2E-11","2E-11","7.1E-11","2.2E-11","2.4E-11","1.4E-11","1.5E-11","1.6E-11","1.9E-11","1.9E-11","1.4E-11","1.4E-11","4E-11","8.2E-11","3E-09"
"Cu-60","23.2m","0.5","1.1E-11","4.7E-12","3.3E-12","5.2E-13","3.2E-12","2.6E-12","5E-10","1.3E-10","5.7E-11","1.4E-11","3.9E-11","1.2E-11","7.3E-12","5.6E-12","1.6E-11","3.8E-11","6E-12","7.8E-13","4.6E-12","2.6E-12","2.4E-11","1.4E-12","2.6E-12","7.8E-13","1.4E-11","8.2E-12","7E-11"
"Cu-61","3.408h","0.5","1.8E-11","2E-11","1.3E-11","1.4E-11","8.1E-12","8.6E-12","3.9E-10","3.4E-10","5.5E-10","2.7E-10","4.3E-10","2.3E-11","2.3E-11","1.5E-11","5.6E-11","4.1E-11","1.9E-11","7.5E-12","1E-11","8.7E-12","2.6E-11","9.7E-12","8.6E-12","7.5E-12","3.9E-11","2.2E-11","1.2E-10"
"Cu-64","12.701h","0.5","1.7E-11","2.3E-11","1.5E-11","3.8E-11","1.1E-11","1.2E-11","1.7E-10","2E-10","6.2E-10","7.5E-10","6.8E-10","2E-11","3.7E-11","1.6E-11","4.8E-11","4.2E-11","1.9E-11","1.2E-11","1.3E-11","1.2E-11","1.9E-11","1.4E-11","1.2E-11","1.2E-11","3.1E-11","2.1E-11","1.2E-10"
"Cu-67","61.86h","0.5","6.9E-11","8.7E-11","7.8E-11","2.8E-10","5.5E-11","5.9E-11","2.6E-10","3.3E-10","1.3E-09","2.9E-09","2E-09","7E-11","2.3E-10","6.4E-11","1.1E-10","2.4E-10","7E-11","6E-11","6.1E-11","5.5E-11","6.7E-11","6.1E-11","5.9E-11","6E-11","8.8E-11","8E-11","3.4E-10"
"Zn-62","9.26h","0.5","1.1E-10","1.4E-10","2E-10","7.6E-11","7.7E-11","8.3E-11","1.4E-09","1.9E-09","5.3E-09","5.4E-09","5.3E-09","1.3E-10","1.1E-10","1.1E-10","3E-10","1.5E-10","2.1E-10","8.1E-11","8.7E-11","8.1E-11","1.2E-10","9.4E-11","8.3E-11","8.1E-11","2E-10","1.4E-10","9.4E-10"
"Zn-63","38.1m","0.5","5.6E-12","3.2E-12","2.4E-12","7.3E-13","1.8E-12","1.6E-12","5.6E-10","2.1E-10","9.9E-11","1.6E-11","6.3E-11","6.3E-12","4.1E-12","3.3E-12","1.1E-11","1.8E-11","4E-12","8.7E-13","2.5E-12","1.7E-12","1.2E-11","1.2E-12","1.6E-12","8.7E-13","8.7E-12","7.7E-12","7.9E-11"
"Zn-65","243.9d","0.5","4.3E-09","3.6E-09","5.4E-09","3.1E-09","2.4E-09","3.3E-09","3.4E-09","4.3E-09","4.3E-09","5.2E-09","4.7E-09","3.8E-09","3.6E-09","3.4E-09","4.5E-09","4.1E-09","4.8E-09","3.5E-09","3.2E-09","2.3E-09","3.6E-09","3.1E-09","3.3E-09","3.5E-09","4.2E-09","3.4E-09","3.9E-09"
"Zn-69","57m","0.5","4.2E-13","4.3E-13","5.6E-13","4.2E-13","4.2E-13","4.2E-13","2.1E-10","1.1E-10","6.2E-11","1E-11","3.9E-11","4.2E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","5.6E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","4.2E-13","2.7E-12","3.1E-11"
"Zn-69m","13.76h","0.5","4.6E-11","6E-11","8.7E-11","3.2E-11","3.2E-11","3.5E-11","2.7E-10","4.7E-10","1.8E-09","2.4E-09","2E-09","5.3E-11","4.7E-11","4.5E-11","1.2E-10","5.9E-11","9.6E-11","3.5E-11","3.7E-11","3.4E-11","5E-11","4E-11","3.5E-11","3.5E-11","8E-11","5.3E-11","3.3E-10"
"Zn-71m","3.92h","0.5","3.7E-11","4.3E-11","3.6E-11","1.5E-11","1.8E-11","1.9E-11","7.1E-10","6.5E-10","1.2E-09","6.3E-10","9.3E-10","4.8E-11","3.8E-11","3.2E-11","1.2E-10","7.3E-11","4.8E-11","1.7E-11","2.2E-11","1.9E-11","5.2E-11","2.2E-11","1.9E-11","1.7E-11","8.4E-11","4.5E-11","2.4E-10"
"Zn-72","46.5h","0.5","5E-10","6.2E-10","1.6E-09","3.5E-10","3.3E-10","3.9E-10","6.7E-10","1.2E-09","3.7E-09","1E-08","6.5E-09","5.1E-10","4.6E-10","4.5E-10","1.1E-09","5.1E-10","9.6E-10","4E-10","3.9E-10","3.3E-10","4.6E-10","4.3E-10","3.9E-10","4E-10","7.2E-10","4.7E-10","1.4E-09"
"Ga-65","15.2m","0.001","2.6E-12","8.3E-13","7.1E-13","1.3E-14","6E-13","4.4E-13","2.9E-10","5.9E-11","1.5E-11","2.9E-12","9.9E-12","2.7E-12","1.6E-12","1.2E-12","3.2E-12","9.9E-12","1.3E-12","5.9E-14","9.8E-13","4.8E-13","6.2E-12","1.7E-13","4.4E-13","5.9E-14","2.7E-12","2.4E-12","3.7E-11"
"Ga-66","9.40h","0.001","5.8E-11","1.5E-10","4.7E-11","9.8E-13","1.5E-11","1.1E-11","1.4E-09","2.6E-09","7.2E-09","7.3E-09","7.2E-09","1.2E-10","8.2E-11","7.3E-11","5.2E-10","1.3E-10","1.1E-10","3E-12","2E-11","2.9E-11","9E-11","4.4E-11","1.1E-11","3E-12","2.8E-10","1.2E-10","1.2E-09"
"Ga-67","78.26h","0.001","8.7E-12","4.6E-11","1.9E-11","6.5E-14","1.2E-12","9.1E-13","8.9E-11","2.4E-10","8E-10","1.8E-09","1.2E-09","2E-11","1.3E-11","1.6E-11","1.4E-10","1.9E-11","2.6E-11","1.9E-13","2.2E-12","5.1E-12","1.4E-11","1.2E-11","9.1E-13","1.9E-13","6.8E-11","2E-11","1.9E-10"
"Ga-68","68.0m","0.001","6.5E-12","5.4E-12","2.6E-12","3.3E-14","1.4E-12","1E-12","6E-10","4.2E-10","3E-10","6.4E-11","2E-10","8.9E-12","5.6E-12","4.4E-12","2.2E-11","2.1E-11","5.8E-12","1.5E-13","2.2E-12","1.6E-12","1.4E-11","1.1E-12","1E-12","1.5E-13","1.7E-11","1.3E-11","1E-10"
"Ga-70","21.15m","0.001","2.1E-14","8.2E-15","6E-15","2.6E-16","5.4E-15","4.1E-15","2.5E-10","7.1E-11","1.6E-11","9.8E-13","9.4E-12","2.3E-14","1.3E-14","1E-14","3.1E-14","7.4E-14","1.1E-14","7.3E-16","8.2E-15","4.4E-15","4.6E-14","2.1E-15","4.1E-15","7.3E-16","2.7E-14","1.5E-12","3.1E-11"
"Ga-72","14.1h","0.001","8.2E-11","2.4E-10","7.2E-11","1.1E-12","2E-11","1.5E-11","9.6E-10","2E-09","5.8E-09","7E-09","6.3E-09","1.7E-10","1.2E-10","1.1E-10","8.4E-10","1.7E-10","1.7E-10","4.1E-12","2.8E-11","4.6E-11","1.2E-10","7.3E-11","1.5E-11","4.1E-12","4.3E-10","1.5E-10","1.1E-09"
"Ga-73","4.91h","0.001","5.7E-12","1.2E-11","4.8E-12","3.5E-14","1E-12","7.4E-13","5.4E-10","8.6E-10","1.8E-09","1.2E-09","1.5E-09","1.1E-11","7.5E-12","6.2E-12","4.4E-11","1.5E-11","9.1E-12","1.3E-13","1.7E-12","2.1E-12","9.9E-12","2.6E-12","7.4E-13","1.3E-13","2.7E-11","2.4E-11","2.6E-10"
"Ge-66","2.27h","1.0","4.3E-11","4.4E-10","3.7E-11","2.9E-11","2.9E-11","3.3E-11","2.5E-10","5.4E-11","1.8E-10","1.9E-10","1.9E-10","1.3E-10","3.8E-11","3.5E-11","5E-11","5.8E-11","3.7E-11","3.3E-11","3.4E-11","2.8E-11","4.8E-11","3.6E-11","3.3E-11","3.3E-11","5.1E-11","3.7E-11","1E-10"
"Ge-67","18.7m","1.0","5.4E-12","6.5E-12","2.7E-12","1.8E-12","2.6E-12","2.5E-12","5.1E-10","1.5E-11","8.3E-12","4.8E-12","6.8E-12","9.9E-12","3.7E-12","3.1E-12","3.4E-12","1.5E-11","3E-12","2E-12","3.2E-12","2.2E-12","1E-11","2E-12","2.5E-12","2E-12","3.2E-12","3.5E-12","6.5E-11"
"Ge-68","288d","1.0","2.6E-10","3.2E-09","2.6E-10","2.2E-10","2.1E-10","2.3E-10","6.5E-10","4.6E-10","3.9E-09","1.1E-08","6.8E-09","6.4E-10","2.6E-10","2.6E-10","5.2E-10","2.8E-10","2.8E-10","2.3E-10","2.3E-10","2.1E-10","2.7E-10","2.6E-10","2.3E-10","2.3E-10","3.9E-10","2.6E-10","1.3E-09"
"Ge-69","39.05h","1.0","9E-11","7.2E-10","8.2E-11","5.9E-11","5.8E-11","7E-11","3.7E-10","1.6E-10","5.6E-10","9.9E-10","7.4E-10","2E-10","8.5E-11","8E-11","1.7E-10","1.1E-10","8.7E-11","6.9E-11","6.9E-11","5.7E-11","9.7E-11","8.1E-11","7E-11","6.9E-11","1.4E-10","8.2E-11","2.4E-10"
"Ge-71","11.8d","1.0","1.8E-12","3.1E-11","1.9E-12","1.8E-12","1.8E-12","1.8E-12","1.2E-11","2.1E-12","3.6E-11","9.6E-11","6.2E-11","6.3E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.7E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.9E-12","1.2E-11"
"Ge-75","82.78m","1.0","4.4E-12","5.1E-11","4.3E-12","4.2E-12","4.2E-12","4.2E-12","3.3E-10","1.2E-11","1.2E-11","6.1E-12","9.6E-12","2.8E-11","4.3E-12","4.3E-12","4.3E-12","5E-12","4.3E-12","4.2E-12","4.3E-12","4.2E-12","4.7E-12","4.2E-12","4.2E-12","4.2E-12","4.3E-12","4.7E-12","4.6E-11"
"Ge-77","11.30h","1.0","1E-10","1.3E-09","9.2E-11","7.6E-11","7.5E-11","8.3E-11","9E-10","1.3E-10","6.3E-10","8.8E-10","7.4E-10","3.6E-10","9.2E-11","8.7E-11","1.2E-10","1.2E-10","9E-11","8.2E-11","8.4E-11","7.4E-11","1.1E-10","8.8E-11","8.3E-11","8.2E-11","1.2E-10","9.1E-11","3.3E-10"
"Ge-78","87m","1.0","3.2E-11","4E-10","2.9E-11","2.5E-11","2.5E-11","2.7E-11","5.9E-10","4.6E-11","8.2E-11","4.9E-11","6.8E-11","1.7E-10","3E-11","2.8E-11","3.2E-11","4.2E-11","2.8E-11","2.7E-11","2.8E-11","2.5E-11","3.6E-11","2.7E-11","2.7E-11","2.7E-11","3.3E-11","3E-11","1.2E-10"
"As-69","15.2m","0.5","3E-12","2.8E-12","1.2E-12","4.1E-13","9.3E-13","8.5E-13","4.2E-10","8.4E-11","3.2E-11","2.8E-11","3E-11","3.7E-12","2.6E-12","1.7E-12","5.4E-12","9.4E-12","2E-12","5.1E-13","1.3E-12","8.7E-13","6.4E-12","8E-13","8.5E-13","5.1E-13","3.7E-12","3.5E-12","5.7E-11"
"As-70","52.6m","0.5","2.3E-11","2.1E-11","9.6E-12","2.3E-12","7.2E-12","6.4E-12","7.9E-10","3.5E-10","2.6E-10","6.1E-11","1.7E-10","2.9E-11","1.9E-11","1.5E-11","5.4E-11","7.2E-11","1.7E-11","3.2E-12","1E-11","6.9E-12","4.7E-11","5.4E-12","6.4E-12","3.2E-12","4.3E-11","2.2E-11","1.3E-10"
"As-71","64.8h","0.5","8.9E-11","2.6E-10","8.9E-11","4.4E-11","4.6E-11","5.4E-11","3.1E-10","5.1E-10","1.7E-09","3.4E-09","2.4E-09","2E-10","1.8E-10","8.6E-11","3.6E-10","1.2E-10","1.1E-10","5.2E-11","5.9E-11","5.1E-11","1.4E-10","7.8E-11","5.4E-11","5.2E-11","2E-10","9.5E-11","4.6E-10"
"As-72","26.0h","0.5","2.1E-10","8.3E-10","1.9E-10","1.2E-10","1.3E-10","1.4E-10","1.6E-09","2.1E-09","8.6E-09","1.5E-08","1.1E-08","5.2E-10","4.4E-10","2.1E-10","7.4E-10","2.7E-10","2.5E-10","1.3E-10","1.5E-10","1.4E-10","3.6E-10","1.8E-10","1.4E-10","1.3E-10","4.3E-10","2.5E-10","1.8E-09"
"As-73","80.30d","0.5","3.9E-11","1.2E-10","4.4E-11","3.8E-11","3.8E-11","3.8E-11","1.2E-10","1.5E-10","9.4E-10","2.6E-09","1.7E-09","2E-10","1.6E-10","3.9E-11","4.7E-11","4E-11","3.8E-11","3.8E-11","3.9E-11","3.7E-11","1.2E-10","3.8E-11","3.8E-11","3.8E-11","4.2E-11","4.3E-11","2.6E-10"
"As-74","17.76d","0.5","3.1E-10","7.2E-10","2.8E-10","1.9E-10","1.9E-10","2.2E-10","7.2E-10","1.1E-09","4.2E-09","1.1E-08","7E-09","8.6E-10","7.7E-10","2.8E-10","8E-10","3.5E-10","3.3E-10","2.2E-10","2.3E-10","2E-10","5.6E-10","2.6E-10","2.2E-10","2.2E-10","4.9E-10","3E-10","1.3E-09"
"As-76","26.32h","0.5","1.1E-10","6.3E-10","1.1E-10","9.3E-11","9.5E-11","9.8E-11","1.4E-09","1.7E-09","8.1E-09","1.4E-08","1.1E-08","3.9E-10","3.2E-10","1.1E-10","2.4E-10","1.3E-10","1.2E-10","9.6E-11","1E-10","9.8E-11","2.5E-10","1.1E-10","9.8E-11","9.6E-11","1.7E-10","1.5E-10","1.6E-09"
"As-77","38.8h","0.5","2.5E-11","1.5E-10","2.5E-11","2.4E-11","2.4E-11","2.4E-11","2.8E-10","3.4E-10","1.9E-09","3.9E-09","2.8E-09","1.1E-10","8.7E-11","2.5E-11","2.8E-11","2.5E-11","2.5E-11","2.4E-11","2.4E-11","2.4E-11","6.4E-11","2.5E-11","2.4E-11","2.4E-11","2.6E-11","3.2E-11","4E-10"
"As-78","90.7m","0.5","1.4E-11","3.7E-11","8.9E-12","5.1E-12","7.1E-12","7E-12","1.2E-09","7.5E-10","6.9E-10","1.8E-10","4.7E-10","2E-11","1.5E-11","1.1E-11","3.5E-11","3.3E-11","1.3E-11","5.6E-12","8.5E-12","7.3E-12","2.4E-11","7E-12","7E-12","5.6E-12","2.7E-11","2.6E-11","2.1E-10"
"Se-70","41.0m","0.8","2.5E-11","1.9E-11","1.5E-11","8.7E-12","1.1E-11","1.2E-11","6.5E-10","2.6E-10","2.4E-10","6.3E-11","1.6E-10","4.6E-11","3E-11","1.7E-11","4.5E-11","5.9E-11","2E-11","1E-11","1.5E-11","1.1E-11","4.2E-11","1.2E-11","1.2E-11","1E-11","3.7E-11","2.3E-11","1.2E-10"
"Se-73","7.15h","0.8","7.4E-11","6.4E-11","5.5E-11","3.6E-11","3.8E-11","4.3E-11","5.7E-10","3.1E-10","6.8E-10","5.7E-10","6.3E-10","4.3E-10","2.4E-10","5.1E-11","1.1E-10","1.4E-10","5.8E-11","4.1E-11","4.9E-11","3.7E-11","1.3E-10","6.3E-11","4.3E-11","4.1E-11","8E-11","6E-11","2.1E-10"
"Se-73m","39m","0.8","6.5E-12","5.4E-12","4.5E-12","3E-12","3.3E-12","3.6E-12","1.3E-10","4.7E-11","6.1E-11","4.4E-11","5.4E-11","3.4E-11","1.9E-11","4.4E-12","9.8E-12","1.4E-11","5E-12","3.3E-12","4.2E-12","3.2E-12","1.2E-11","5.1E-12","3.6E-12","3.3E-12","7.1E-12","5.6E-12","2.8E-11"
"Se-75","119.8d","0.8","3.9E-09","1.5E-09","2.2E-09","1E-09","1.1E-09","1.4E-09","2.3E-09","2.3E-09","2.5E-09","2.2E-09","2.4E-09","1.4E-08","9.9E-09","1.5E-09","2.1E-09","4.7E-09","1.8E-09","1.3E-09","1.9E-09","9.5E-10","4.3E-09","1.7E-09","1.4E-09","1.3E-09","1.8E-09","7.6E-09","2.6E-09"
"Se-79","65000y","0.8","9.6E-10","1.1E-09","9.6E-10","9.6E-10","9.6E-10","9.6E-10","1E-09","1E-09","1.4E-09","2.3E-09","1.8E-09","3.2E-08","1.4E-08","9.6E-10","1.8E-09","5E-09","9.6E-10","9.6E-10","9.6E-10","9.6E-10","5.6E-09","2.9E-09","9.6E-10","9.6E-10","9.6E-10","1.7E-08","2.9E-09"
"Se-81","18.5m","0.8","2.2E-13","2.1E-13","2E-13","2E-13","2E-13","2E-13","2.2E-10","3.9E-11","7.8E-12","6.2E-13","4.7E-12","4.3E-13","3E-13","2.1E-13","2.3E-13","3.1E-13","2.1E-13","2E-13","2.1E-13","2E-13","2.8E-13","2.1E-13","2E-13","2E-13","2.2E-13","1E-12","2.7E-11"
"Se-81m","57.25m","0.8","3.1E-12","3.1E-12","3E-12","2.9E-12","2.9E-12","2.9E-12","3.4E-10","1.5E-10","1.1E-10","2.1E-11","7.2E-11","1.3E-11","7E-12","3E-12","3.5E-12","4.6E-12","3E-12","2.9E-12","3E-12","2.9E-12","4.6E-12","3.5E-12","2.9E-12","2.9E-12","3.1E-12","6.3E-12","5.3E-11"
"Se-83","22.5m","0.8","8E-12","3.7E-12","3.2E-12","1.4E-12","3E-12","2.7E-12","3.2E-10","7.3E-11","5.4E-11","1.9E-11","3.9E-11","1.4E-11","8E-12","4.4E-12","9.5E-12","2.6E-11","4.6E-12","1.7E-12","4E-12","2.6E-12","1.7E-11","2.3E-12","2.7E-12","1.7E-12","8.1E-12","6E-12","4.7E-11"
"Br-74","25.3m","1.0","1.5E-11","6.3E-12","7E-12","4.1E-12","6.9E-12","6.9E-12","6.3E-10","2.5E-11","1.9E-11","9.5E-12","1.5E-11","1.4E-11","1E-11","8.4E-12","9.1E-12","4.6E-11","8.1E-12","5E-12","8.7E-12","5.6E-12","3E-11","4.9E-12","6.9E-12","5E-12","8.7E-12","8.9E-12","8.4E-11"
"Br-74m","41.5m","1.0","2.5E-11","1.4E-11","1.4E-11","1E-11","1.3E-11","1.4E-11","1E-09","4.3E-11","3.5E-11","1.8E-11","2.8E-11","2.4E-11","1.9E-11","1.6E-11","1.7E-11","6.5E-11","1.6E-11","1.2E-11","1.6E-11","1.1E-11","4.4E-11","1.1E-11","1.4E-11","1.2E-11","1.7E-11","1.7E-11","1.4E-10"
"Br-75","98m","1.0","2.1E-11","1.6E-11","1.6E-11","1.2E-11","1.3E-11","1.5E-11","5.3E-10","3.1E-11","3.3E-11","2E-11","2.7E-11","2E-11","1.7E-11","1.5E-11","1.8E-11","4.1E-11","1.6E-11","1.4E-11","1.6E-11","1.2E-11","3E-11","1.3E-11","1.5E-11","1.4E-11","1.7E-11","1.6E-11","7.9E-11"
"Br-76","16.2h","1.0","3.2E-10","3.8E-10","3E-10","2.5E-10","2.4E-10","2.9E-10","1.3E-09","3.6E-10","6E-10","7.1E-10","6.5E-10","3.1E-10","3.1E-10","2.8E-10","3.5E-10","3.8E-10","2.9E-10","2.8E-10","2.8E-10","2.3E-10","3.3E-10","2.7E-10","2.9E-10","2.8E-10","3.3E-10","2.8E-10","4.6E-10"
"Br-77","56h","1.0","8.8E-11","9.8E-11","8.9E-11","6E-11","5.3E-11","7.5E-11","1.2E-10","1E-10","1.3E-10","1.7E-10","1.4E-10","8.3E-11","8.2E-11","7.1E-11","1.1E-10","1E-10","7.7E-11","7.4E-11","7.1E-11","4.8E-11","8.6E-11","7E-11","7.5E-11","7.4E-11","1E-10","7.1E-11","9.6E-11"
"Br-80","17.4m","1.0","8.8E-13","7.3E-13","7.4E-13","7E-13","7.4E-13","7.3E-13","2.5E-10","6.5E-12","1.9E-12","8.3E-13","1.5E-12","8.6E-13","8E-13","7.6E-13","7.7E-13","1.4E-12","7.6E-13","7.1E-13","7.7E-13","7.2E-13","1.1E-12","7.1E-13","7.3E-13","7.1E-13","7.6E-13","8.8E-13","3.1E-11"
"Br-80m","4.42h","1.0","4E-11","4.9E-11","4E-11","3.9E-11","3.9E-11","3.9E-11","6.2E-10","5.5E-11","9.5E-11","7.4E-11","8.6E-11","4E-11","3.9E-11","3.9E-11","4E-11","4.2E-11","3.9E-11","3.9E-11","3.9E-11","3.8E-11","4E-11","3.9E-11","3.9E-11","3.9E-11","4E-11","3.9E-11","1.1E-10"
"Br-82","35.30h","1.0","4.8E-10","5.3E-10","4.5E-10","3.3E-10","3E-10","4.1E-10","8.3E-10","5.6E-10","7.2E-10","9.1E-10","8E-10","4.6E-10","4.5E-10","3.9E-10","5.7E-10","5.6E-10","4.3E-10","4E-10","3.9E-10","2.8E-10","4.8E-10","3.9E-10","4.1E-10","4E-10","5.3E-10","4E-10","5.4E-10"
"Br-83","2.39h","1.0","7.3E-12","8.4E-12","7.3E-12","7.3E-12","7.3E-12","7.3E-12","3E-10","1.4E-11","1.8E-11","1.1E-11","1.5E-11","7.3E-12","7.3E-12","7.3E-12","7.3E-12","7.5E-12","7.3E-12","7.3E-12","7.3E-12","7.3E-12","7.4E-12","7.3E-12","7.3E-12","7.3E-12","7.3E-12","7.4E-12","4.3E-11"
"Br-84","31.80m","1.0","9.4E-12","5.5E-12","5.8E-12","4.4E-12","5.7E-12","5.8E-12","6.8E-10","2.4E-11","1.5E-11","7.3E-12","1.2E-11","9.1E-12","7.3E-12","6.4E-12","6.8E-12","2.3E-11","6.2E-12","4.9E-12","6.5E-12","5E-12","1.6E-11","4.8E-12","5.8E-12","4.9E-12","6.6E-12","6.8E-12","8.8E-11"
"Rb-79","22.9m","1.0","5.8E-12","2.5E-12","3E-12","1.9E-12","2.6E-12","2.6E-12","3.9E-10","1.3E-11","7.9E-12","3.7E-12","6.1E-12","5.3E-12","4E-12","3.3E-12","3.5E-12","1.7E-11","3.3E-12","2.1E-12","3.4E-12","2.3E-12","1.1E-11","2E-12","2.6E-12","2.1E-12","3.3E-12","3.5E-12","5E-11"
"Rb-81","4.58h","1.0","2.6E-11","2.2E-11","3.4E-11","1.8E-11","1.7E-11","2E-11","2.7E-10","3E-11","3.7E-11","3E-11","3.4E-11","2.4E-11","2.3E-11","2E-11","2.4E-11","3.9E-11","2.6E-11","2E-11","2.1E-11","1.6E-11","3.1E-11","1.9E-11","2E-11","2E-11","2.4E-11","2.1E-11","5.4E-11"
"Rb-81m","32m","1.0","3.2E-12","2.9E-12","4.6E-12","2.4E-12","2.3E-12","2.7E-12","5.8E-11","4.4E-12","4.8E-12","4E-12","4.5E-12","3E-12","2.9E-12","2.6E-12","3.1E-12","4.1E-12","3.4E-12","2.7E-12","2.7E-12","2.1E-12","3.5E-12","2.5E-12","2.7E-12","2.7E-12","3.1E-12","2.7E-12","9.7E-12"
"Rb-82m","6.2h","1.0","1.1E-10","8.1E-11","1E-10","6.3E-11","5.8E-11","7.6E-11","4.3E-10","1.1E-10","1.1E-10","1E-10","1.1E-10","9.6E-11","8.8E-11","7.6E-11","9.8E-11","1.6E-10","9.3E-11","7.4E-11","7.6E-11","5.2E-11","1.2E-10","6.8E-11","7.6E-11","7.4E-11","9.5E-11","7.7E-11","1.3E-10"
"Rb-83","86.2d","1.0","2.1E-09","1.8E-09","2.9E-09","1.5E-09","1.2E-09","1.6E-09","1.7E-09","2E-09","1.9E-09","2.3E-09","2.1E-09","1.8E-09","1.7E-09","1.6E-09","2.1E-09","2E-09","2.3E-09","1.7E-09","1.6E-09","1.1E-09","1.7E-09","1.5E-09","1.6E-09","1.7E-09","2E-09","1.6E-09","1.9E-09"
"Rb-84","32.77d","1.0","2.8E-09","2.8E-09","5.2E-09","2.2E-09","1.9E-09","2.3E-09","2.6E-09","2.7E-09","2.9E-09","3.8E-09","3.3E-09","2.6E-09","2.5E-09","2.3E-09","2.8E-09","2.8E-09","3.6E-09","2.4E-09","2.3E-09","1.8E-09","2.5E-09","2.2E-09","2.3E-09","2.4E-09","2.8E-09","2.3E-09","2.8E-09"
"Rb-86","18.66d","1.0","2.2E-09","2.9E-09","8.3E-09","2.2E-09","2.1E-09","2.2E-09","2.9E-09","2.2E-09","3.1E-09","4.9E-09","3.9E-09","2.2E-09","2.2E-09","2.2E-09","2.2E-09","2.2E-09","4.2E-09","2.2E-09","2.2E-09","2.1E-09","2.2E-09","2.2E-09","2.2E-09","2.2E-09","2.2E-09","2.2E-09","2.8E-09"
"Rb-87","4.7E10y","1.0","1.2E-09","1.6E-09","4.6E-09","1.2E-09","1.2E-09","1.2E-09","1.3E-09","1.2E-09","1.7E-09","2.6E-09","2.1E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","2.3E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.2E-09","1.5E-09"
"Rb-88","17.8m","1.0","3.3E-12","2.4E-12","2.7E-12","2.2E-12","2.5E-12","2.5E-12","7.3E-10","2E-11","6.5E-12","2.9E-12","4.9E-12","3.3E-12","2.8E-12","2.6E-12","2.7E-12","6.7E-12","2.6E-12","2.2E-12","2.7E-12","2.3E-12","5E-12","2.2E-12","2.5E-12","2.2E-12","2.6E-12","3E-12","9E-11"
"Rb-89","15.2m","1.0","5.5E-12","2.7E-12","4.7E-12","1.8E-12","2.8E-12","2.7E-12","3.6E-10","1.2E-11","7.2E-12","4.4E-12","6E-12","5.2E-12","3.9E-12","3.2E-12","3.3E-12","1.6E-11","3.8E-12","2.1E-12","3.4E-12","2.4E-12","1E-11","2E-12","2.7E-12","2.1E-12","3.2E-12","3.5E-12","4.7E-11"
"Sr-80","100m","0.3","1.5E-11","5.5E-11","1.6E-11","3.8E-12","5.9E-12","5.5E-12","1.7E-09","1.4E-09","1.3E-09","3.7E-10","9.3E-10","1.9E-11","1.4E-11","1.2E-11","4.6E-11","3.7E-11","2.2E-11","4.2E-12","7.4E-12","6.5E-12","2.5E-11","6E-12","5.5E-12","4.2E-12","3.5E-11","4E-11","3.4E-10"
"Sr-81","25.5m","0.3","5.9E-12","6.8E-12","4.9E-12","4.7E-13","1.6E-12","1.3E-12","5.1E-10","1.8E-10","1.2E-10","4.8E-11","8.7E-11","7.1E-12","4.5E-12","3.6E-12","1.4E-11","1.9E-11","5.2E-12","6E-13","2.4E-12","1.6E-12","1.2E-11","1.2E-12","1.3E-12","6E-13","1.1E-11","7.3E-12","7.7E-11"
"Sr-82","25.0d","0.3","8.9E-10","2E-09","8.5E-09","6.6E-10","5.7E-10","6.3E-10","2.5E-09","4.3E-09","2E-08","5.4E-08","3.5E-08","8.4E-10","7.2E-10","7.4E-10","1.6E-09","8.3E-10","7.4E-09","6.4E-10","6.7E-10","5.9E-10","7.3E-10","6.6E-10","6.3E-10","6.4E-10","1.1E-09","8.1E-10","6.1E-09"
"Sr-83","32.4h","0.3","7.2E-11","2E-10","2.3E-10","3.1E-11","2.9E-11","3.4E-11","3.5E-10","6.6E-10","2E-09","3.4E-09","2.6E-09","9.5E-11","7.2E-11","7.4E-11","4E-10","9.7E-11","1.9E-10","3.2E-11","4E-11","3.9E-11","7.5E-11","5.9E-11","3.4E-11","3.2E-11","2.1E-10","8.5E-11","4.9E-10"
